alarm_id,incident_description,network_region,technology_type,severity,outage_duration,device_vendor,resolution_notes,timestamp,service_impact,alarm_type,affected_subscribers,resolution_time_minutes,recurrence_count
ALM-2024-00258,Core network signaling storm from 42 IoT devices in West entering simultaneous TAU cycles. MME/AMF overloaded causing 72% attach rejection rate. Emergency rate limiting applied to prevent total core collapse.,Central,4G-LTE,P2-High,54,Cisco,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2024-07-24T03:28:12,Roaming Services,Software Bug,16791,91,6
ALM-2024-00225,Massive MIMO antenna tilt misconfiguration on 15 sector sites in North. SINR degraded by 14 dB causing uplink interference. Capacity reduced by 29% during peak hours. Service degradation reported by enterprise customers using mmWave bands.,Central,4G-LTE,P1-Critical,52,Cisco,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2024-07-24T18:01:40,IoT Connectivity,Config Error,47658,123,2
ALM-2023-00043,10 gNB nodes in South region reporting X2 interface failures after firmware upgrade to 18.Q4. UE attach success rate dropped from 98% to 74%. Engineers observed increased RRC connection rejections. Root cause identified as misconfigured AMF pool configuration post-upgrade.,South,5G-NR,P4-Low,44,Juniper,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2024-07-28T00:51:08,"IoT Connectivity, Roaming Services, Emergency Services",Power Failure,34525,94,6
ALM-2025-00430,LTE carrier aggregation malfunction on Band 3 + Band 7 in East. PDCP layer buffer overflow caused by DRB misconfiguration after software patch HF-2330. 136018 high-value subscribers affected. ARPU impact estimated at $1609K.,North,4G-LTE,P4-Low,45,Juniper,Applied emergency hotfix patch HF-1106 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2024-07-28T02:57:03,"Video Streaming, Data Sessions, SMS",Authentication Failure,43590,135,3
ALM-2023-00040,N2/N3 interface congestion between East gNBs and AMF cluster. 23 sites showing SCTP association failures. Emergency handover to 4G-LTE fallback activated. Traffic load balancing misconfiguration identified as probable cause.,West,Fiber,P3-Medium,103,Huawei,Applied emergency hotfix patch HF-1935 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2024-07-30T06:02:34,"Roaming Services, Emergency Services, Enterprise VPN",Sync Loss,17995,133,8
ALM-2024-00323,Incorrect ACL configuration pushed to 8 Ericsson routers in East via automated provisioning. Management plane traffic blocked causing loss of visibility to 8 network elements. Emergency rollback executed via out-of-band console access.,South,MPLS,P4-Low,24,Nokia,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2024-07-30T22:56:53,"Roaming Services, Voice Calls",Hardware Failure,30113,65,4
ALM-2024-00373,5G NR SA core network experiencing PDU session establishment failures in Central. UPF processing latency spiked to 212ms. Affected 92554 IoT devices unable to connect. SMF logs show session binding errors correlated with UPF software defect #SW-39315.,Central,MPLS,P1-Critical,127,Juniper,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2024-07-31T18:11:36,IoT Connectivity,Interference,157113,334,1
ALM-2024-00300,Incorrect ACL configuration pushed to 11 Cisco routers in North via automated provisioning. Management plane traffic blocked causing loss of visibility to 11 network elements. Emergency rollback executed via out-of-band console access.,West,5G-NR,P2-High,62,Juniper,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2024-08-13T04:58:00,"SMS, Emergency Services",Hardware Failure,81238,88,4
ALM-2023-00127,LTE PDCP integrity protection mismatch on Nokia eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 32 cells impacted in North. Hotfix deployment required to restore normal operations.,South,Fiber,P3-Medium,22,Ericsson,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2024-08-13T18:39:01,VoLTE,Power Failure,66813,43,1
ALM-2024-00214,5G NR SA core network experiencing PDU session establishment failures in North. UPF processing latency spiked to 135ms. Affected 108189 IoT devices unable to connect. SMF logs show session binding errors correlated with UPF software defect #SW-11396.,North,SD-WAN,P4-Low,24,Cisco,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2024-08-15T15:10:27,Roaming Services,Config Error,670,39,5
ALM-2025-00466,GNSS antenna failure on South primary timing reference. Backup BITS/SSU clock source activated. Stratum level degraded from 1 to 3. 15 dependent 5G sites at risk of air interface synchronization failure.,East,SD-WAN,P2-High,137,Juniper,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2024-08-17T21:16:42,"Emergency Services, VoLTE",Config Error,126009,379,5
ALM-2024-00380,8 gNB nodes in South region reporting X2 interface failures after firmware upgrade to 22.Q2. UE attach success rate dropped from 98% to 66%. Engineers observed increased RRC connection rejections. Root cause identified as misconfigured AMF pool configuration post-upgrade.,North,SD-WAN,P3-Medium,105,Nokia,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2024-08-20T16:31:57,"Data Sessions, Video Streaming",Software Bug,43517,241,2
ALM-2025-00492,Fiber cut on backbone ring between Central hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 427ms additional latency. 17 enterprise circuits and 38599 mobile subscribers affected on dependent transport.,North,MPLS,P4-Low,46,Huawei,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 2 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 101 minutes.,2024-08-21T08:16:30,"Voice Calls, Enterprise VPN",Capacity Overload,40286,112,4
ALM-2023-00123,LTE PDCP integrity protection mismatch on Nokia eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 3 cells impacted in West. Hotfix deployment required to restore normal operations.,South,SD-WAN,P4-Low,50,Ericsson,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2024-08-22T16:52:40,"SMS, Voice Calls",Capacity Overload,44929,51,2
ALM-2024-00363,X2 handover failures between North eNodeBs and neighboring cluster. Inter-eNB handover success rate dropped to 50%. Ping-pong handover storms observed. SON algorithm override required to stabilize mobility parameters.,West,MPLS,P3-Medium,107,Ericsson,Rolled back firmware to previous stable version 21.Q1. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2024-08-23T10:53:10,Emergency Services,Transport Failure,73893,286,8
ALM-2024-00203,Line card failure on Cisco core router in North data center. Module 10/1 ejected due to ASIC thermal runaway at 116°C. Traffic failover to redundant linecard triggered 465ms packet loss event.,Central,SD-WAN,P1-Critical,22,Juniper,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2024-08-24T22:14:47,"Roaming Services, VoLTE",Interference,13586,54,4
ALM-2023-00010,Multiple eNodeBs in South showing S1 interface failure after planned maintenance window. MME connection dropped across 7 sites. Cause: BGP route advertisement error on backhaul routers. Subscribers experiencing call drops and data session timeouts in the affected area.,East,SD-WAN,P4-Low,41,Juniper,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2024-08-26T03:30:12,Emergency Services,Software Bug,24539,119,8
ALM-2023-00076,Battery backup degradation on 38 East BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,Central,5G-NR,P2-High,127,Cisco,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2024-08-28T03:10:08,"VoLTE, Roaming Services",Sync Loss,43094,347,6
ALM-2024-00231,Uplink PRB utilization exceeding 90% on 4 cells in West during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 49%. Emergency capacity expansion through spectrum refarming initiated.,North,5G-NR,P3-Medium,78,Nokia,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2024-08-28T08:28:36,"Voice Calls, Data Sessions",Hardware Failure,2547,230,8
ALM-2024-00276,Fiber cut on backbone ring between South hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 343ms additional latency. 15 enterprise circuits and 77666 mobile subscribers affected on dependent transport.,South,5G-NR,P1-Critical,30,Nokia,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2024-08-28T14:22:21,"VoLTE, Roaming Services",Power Failure,141593,51,8
ALM-2024-00362,Multiple eNodeBs in East showing S1 interface failure after planned maintenance window. MME connection dropped across 42 sites. Cause: BGP route advertisement error on backhaul routers. Subscribers experiencing call drops and data session timeouts in the affected area.,Central,MPLS,P2-High,81,Huawei,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2024-08-31T23:33:59,"Voice Calls, Video Streaming",Sync Loss,97693,87,0
ALM-2023-00191,MPLS LDP session flap on core router in South causing traffic blackhole for 479 minutes. 5 L3VPN tunnels re-converging after IGP topology change. BGP prefix withdrawal storm affected enterprise customers during reconvergence.,South,SD-WAN,P4-Low,53,Huawei,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2024-09-04T09:03:57,Voice Calls,Hardware Failure,10118,101,0
ALM-2024-00359,Uplink PRB utilization exceeding 90% on 30 cells in South during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 59%. Emergency capacity expansion through spectrum refarming initiated.,East,3G-UMTS,P2-High,23,Huawei,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 2 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 239 minutes.,2024-09-05T20:16:50,"VoLTE, Data Sessions, Roaming Services",Transport Failure,127166,60,2
ALM-2025-00472,Core network signaling storm from 37 IoT devices in East entering simultaneous TAU cycles. MME/AMF overloaded causing 49% attach rejection rate. Emergency rate limiting applied to prevent total core collapse.,South,MPLS,P4-Low,23,Juniper,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2024-09-07T03:36:24,"Voice Calls, Emergency Services",Authentication Failure,13991,43,7
ALM-2025-00416,Massive MIMO antenna tilt misconfiguration on 17 sector sites in West. SINR degraded by 12 dB causing uplink interference. Capacity reduced by 56% during peak hours. Service degradation reported by enterprise customers using mmWave bands.,North,3G-UMTS,P1-Critical,143,Juniper,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2024-09-17T21:50:53,Emergency Services,Hardware Failure,179850,203,8
ALM-2024-00320,LTE PDCP integrity protection mismatch on Huawei eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 40 cells impacted in South. Hotfix deployment required to restore normal operations.,East,4G-LTE,P4-Low,11,Ericsson,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2024-09-19T04:06:33,Roaming Services,Config Error,5322,28,5
ALM-2024-00327,BGP route policy misconfiguration in West caused 25K prefixes to be inadvertently withdrawn. Internet traffic blackholed for 174 minutes. Customer escalations: 36608 broadband users reported total connectivity loss.,South,3G-UMTS,P1-Critical,151,Nokia,Rolled back firmware to previous stable version 21.Q1. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2024-09-22T11:23:43,"Roaming Services, VoLTE",Hardware Failure,97297,304,2
ALM-2023-00022,DWDM wavelength drift detected on South fiber span kilometer 46. OSNR degraded below threshold causing FEC errors to spike. Amplifier gain tilt compensation adjusted but optical power margin remains critically low.,North,MPLS,P4-Low,21,Cisco,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2024-09-22T19:14:22,"SMS, IoT Connectivity, Video Streaming",Authentication Failure,37093,53,0
ALM-2023-00105,Submarine cable EDFA failure causing signal degradation on Central international link. Capacity reduced from 318Gbps to 21Gbps. Traffic rerouted via alternate cable system with 78ms additional round-trip delay.,Central,4G-LTE,P4-Low,9,Nokia,Rolled back firmware to previous stable version 23.Q3. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2024-10-01T13:24:38,"SMS, Video Streaming",Sync Loss,44725,11,2
ALM-2024-00393,LTE PDCP integrity protection mismatch on Cisco eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 5 cells impacted in West. Hotfix deployment required to restore normal operations.,Central,4G-LTE,P4-Low,50,Huawei,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2024-10-02T14:30:22,Video Streaming,Interference,12917,54,1
ALM-2023-00085,Battery backup degradation on 8 Central BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,South,3G-UMTS,P4-Low,58,Ericsson,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2024-10-05T01:30:32,"Video Streaming, SMS",Config Error,19195,150,4
ALM-2024-00211,MPLS LDP session flap on core router in South causing traffic blackhole for 351 minutes. 26 L3VPN tunnels re-converging after IGP topology change. BGP prefix withdrawal storm affected enterprise customers during reconvergence.,East,3G-UMTS,P2-High,87,Cisco,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2024-10-08T19:18:59,"Data Sessions, Video Streaming",Transport Failure,122676,95,3
ALM-2023-00179,32 gNB nodes in East region reporting X2 interface failures after firmware upgrade to 21.Q3. UE attach success rate dropped from 98% to 60%. Engineers observed increased RRC connection rejections. Root cause identified as misconfigured AMF pool configuration post-upgrade.,Central,MPLS,P1-Critical,55,Cisco,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2024-10-10T09:05:59,"SMS, Voice Calls, IoT Connectivity",Software Bug,92248,112,2
ALM-2024-00267,39 gNB nodes in South region reporting X2 interface failures after firmware upgrade to 22.Q3. UE attach success rate dropped from 98% to 51%. Engineers observed increased RRC connection rejections. Root cause identified as misconfigured AMF pool configuration post-upgrade.,South,SD-WAN,P1-Critical,195,Ericsson,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2024-10-12T17:26:55,"IoT Connectivity, Data Sessions",Sync Loss,128665,410,8
ALM-2024-00272,Battery backup degradation on 42 West BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,Central,4G-LTE,P1-Critical,62,Cisco,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2024-10-13T08:22:15,VoLTE,Link Down,198126,149,4
ALM-2023-00169,PTP/IEEE-1588 grandmaster clock failure in West synchronization hierarchy. Holdover mode activated on 15 slave clocks. Phase error accumulating at 56 ns/s. 5G NR TDD frame alignment at risk after 382 minutes without reference.,West,MPLS,P4-Low,28,Cisco,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2024-10-18T17:27:23,"Data Sessions, Roaming Services",Link Down,21708,55,1
ALM-2024-00349,BGP route policy misconfiguration in West caused 46K prefixes to be inadvertently withdrawn. Internet traffic blackholed for 68 minutes. Customer escalations: 106909 broadband users reported total connectivity loss.,East,5G-NR,P2-High,49,Nokia,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2024-10-20T06:26:28,"Emergency Services, Video Streaming",Transport Failure,76522,77,6
ALM-2024-00314,LTE PDCP integrity protection mismatch on Ericsson eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 13 cells impacted in South. Hotfix deployment required to restore normal operations.,Central,5G-NR,P1-Critical,211,Juniper,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2024-10-21T01:59:19,Video Streaming,Sync Loss,18822,570,0
ALM-2025-00412,Uplink PRB utilization exceeding 90% on 24 cells in East during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 28%. Emergency capacity expansion through spectrum refarming initiated.,West,SD-WAN,P3-Medium,111,Cisco,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2024-10-21T17:42:11,"Roaming Services, Voice Calls",Hardware Failure,99204,240,6
ALM-2024-00226,Power supply unit failure in South outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 424 hours caused site blackout. 17 collocated operators affected. TSSR dispatched for emergency repair.,West,MPLS,P3-Medium,54,Cisco,Applied emergency hotfix patch HF-2435 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2024-10-22T20:28:48,"Roaming Services, Voice Calls, Emergency Services",Sync Loss,63343,81,0
ALM-2023-00160,Segment routing MPLS path computation failure in North SR-TE domain. PCE-server connectivity lost due to TLS certificate expiry. 47 critical traffic classes losing QoS guarantees. Enterprise SLA breached.,East,4G-LTE,P2-High,38,Huawei,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2024-10-24T03:12:03,"Enterprise VPN, Video Streaming",Transport Failure,32462,61,5
ALM-2023-00185,CU-DU functional split failure on 31 distributed 5G nodes in West. F1 interface went down due to transport network IP route withdrawal. Mid-haul link between CU and DU lost for 448 minutes causing complete service disruption.,Central,MPLS,P2-High,140,Nokia,Applied emergency hotfix patch HF-7946 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2024-10-26T01:42:31,Video Streaming,Capacity Overload,37682,246,8
ALM-2024-00325,Battery backup degradation on 32 East BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,South,Fiber,P4-Low,44,Ericsson,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2024-10-26T10:16:32,"Video Streaming, Emergency Services, Voice Calls",Transport Failure,34607,58,4
ALM-2023-00193,PTP/IEEE-1588 grandmaster clock failure in East synchronization hierarchy. Holdover mode activated on 38 slave clocks. Phase error accumulating at 67 ns/s. 5G NR TDD frame alignment at risk after 32 minutes without reference.,South,MPLS,P2-High,55,Juniper,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2024-10-30T02:07:15,Video Streaming,Config Error,46000,67,1
ALM-2025-00457,CU-DU functional split failure on 7 distributed 5G nodes in North. F1 interface went down due to transport network IP route withdrawal. Mid-haul link between CU and DU lost for 403 minutes causing complete service disruption.,South,SD-WAN,P3-Medium,67,Nokia,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2024-10-31T18:17:27,"Voice Calls, Roaming Services",Config Error,68696,181,8
ALM-2024-00210,Incorrect ACL configuration pushed to 42 Cisco routers in East via automated provisioning. Management plane traffic blocked causing loss of visibility to 42 network elements. Emergency rollback executed via out-of-band console access.,West,MPLS,P2-High,30,Nokia,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2024-10-31T19:44:45,"Enterprise VPN, Voice Calls, Roaming Services",Power Failure,11909,32,6
ALM-2023-00049,CSFB (Circuit Switched Fallback) failure rate spike in South — 73% failure observed. MSC-S unreachable from 21 eNodeBs due to SS7 link congestion. Voice call setup failure affected 134823 subscribers during peak hours.,North,3G-UMTS,P4-Low,44,Cisco,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2024-11-01T03:03:06,"Enterprise VPN, IoT Connectivity, SMS",Sync Loss,41445,124,5
ALM-2024-00303,MPLS LDP session flap on core router in East causing traffic blackhole for 132 minutes. 13 L3VPN tunnels re-converging after IGP topology change. BGP prefix withdrawal storm affected enterprise customers during reconvergence.,West,MPLS,P2-High,113,Cisco,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2024-11-02T02:38:40,VoLTE,Capacity Overload,29628,310,5
ALM-2023-00113,MPLS LDP session flap on core router in Central causing traffic blackhole for 198 minutes. 50 L3VPN tunnels re-converging after IGP topology change. BGP prefix withdrawal storm affected enterprise customers during reconvergence.,South,MPLS,P3-Medium,113,Juniper,Rolled back firmware to previous stable version 19.Q4. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2024-11-04T08:12:39,"Data Sessions, VoLTE, SMS",Authentication Failure,52524,299,4
ALM-2025-00419,PTP/IEEE-1588 grandmaster clock failure in West synchronization hierarchy. Holdover mode activated on 48 slave clocks. Phase error accumulating at 45 ns/s. 5G NR TDD frame alignment at risk after 378 minutes without reference.,Central,SD-WAN,P3-Medium,63,Nokia,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2024-11-05T05:39:59,"IoT Connectivity, Data Sessions",Capacity Overload,21343,172,5
ALM-2024-00286,LTE carrier aggregation malfunction on Band 3 + Band 7 in West. PDCP layer buffer overflow caused by DRB misconfiguration after software patch HF-8240. 103975 high-value subscribers affected. ARPU impact estimated at $106K.,North,3G-UMTS,P3-Medium,13,Cisco,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2024-11-07T22:25:56,"Data Sessions, VoLTE",Link Down,96203,16,4
ALM-2024-00384,N2/N3 interface congestion between Central gNBs and AMF cluster. 43 sites showing SCTP association failures. Emergency handover to 4G-LTE fallback activated. Traffic load balancing misconfiguration identified as probable cause.,North,Fiber,P2-High,45,Juniper,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2024-11-12T02:20:09,"IoT Connectivity, VoLTE",Transport Failure,84026,89,3
ALM-2023-00044,CSFB (Circuit Switched Fallback) failure rate spike in North — 64% failure observed. MSC-S unreachable from 28 eNodeBs due to SS7 link congestion. Voice call setup failure affected 100085 subscribers during peak hours.,Central,5G-NR,P3-Medium,98,Cisco,Rolled back firmware to previous stable version 20.Q3. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2024-11-12T06:08:22,"IoT Connectivity, SMS",Software Bug,65337,101,8
ALM-2024-00232,Submarine cable EDFA failure causing signal degradation on South international link. Capacity reduced from 141Gbps to 64Gbps. Traffic rerouted via alternate cable system with 475ms additional round-trip delay.,East,4G-LTE,P3-Medium,13,Cisco,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2024-11-19T12:33:12,"Video Streaming, VoLTE",Authentication Failure,29941,35,7
ALM-2023-00186,Battery backup degradation on 47 Central BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,South,Fiber,P2-High,114,Ericsson,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 6 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 197 minutes.,2024-11-22T00:58:19,"Voice Calls, Emergency Services, IoT Connectivity",Software Bug,59715,184,7
ALM-2024-00252,N2/N3 interface congestion between East gNBs and AMF cluster. 12 sites showing SCTP association failures. Emergency handover to 4G-LTE fallback activated. Traffic load balancing misconfiguration identified as probable cause.,Central,4G-LTE,P4-Low,6,Huawei,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2024-11-22T06:18:00,"Voice Calls, Data Sessions",Link Down,40399,14,1
ALM-2023-00192,Line card failure on Cisco core router in West data center. Module 8/2 ejected due to ASIC thermal runaway at 98°C. Traffic failover to redundant linecard triggered 214ms packet loss event.,East,Fiber,P1-Critical,73,Cisco,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2024-11-24T20:13:51,"IoT Connectivity, Data Sessions",Link Down,89328,215,3
ALM-2024-00381,Incorrect ACL configuration pushed to 22 Ericsson routers in South via automated provisioning. Management plane traffic blocked causing loss of visibility to 22 network elements. Emergency rollback executed via out-of-band console access.,North,Fiber,P4-Low,41,Nokia,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2024-11-25T00:53:24,Roaming Services,Power Failure,45872,77,0
ALM-2024-00213,Massive MIMO antenna tilt misconfiguration on 2 sector sites in West. SINR degraded by 6 dB causing uplink interference. Capacity reduced by 53% during peak hours. Service degradation reported by enterprise customers using mmWave bands.,West,SD-WAN,P1-Critical,128,Nokia,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2024-11-25T08:36:51,Video Streaming,Link Down,53542,320,3
ALM-2025-00406,46 gNB nodes in Central region reporting X2 interface failures after firmware upgrade to 19.Q3. UE attach success rate dropped from 98% to 66%. Engineers observed increased RRC connection rejections. Root cause identified as misconfigured AMF pool configuration post-upgrade.,West,4G-LTE,P1-Critical,233,Nokia,Rolled back firmware to previous stable version 23.Q3. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2024-11-28T06:03:24,"Emergency Services, Roaming Services",Interference,92915,574,3
ALM-2024-00376,ISIS adjacency loss between Central P-routers after planned IOS-XR upgrade. SPF recalculation loop detected causing micro-burst packet loss. ECMP paths became unequal triggering traffic imbalance across 19 interfaces.,Central,SD-WAN,P1-Critical,168,Huawei,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2024-11-30T03:44:13,Voice Calls,Transport Failure,136143,182,6
ALM-2023-00061,Uplink PRB utilization exceeding 90% on 34 cells in East during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 36%. Emergency capacity expansion through spectrum refarming initiated.,East,5G-NR,P1-Critical,99,Huawei,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2024-12-03T08:56:25,"Video Streaming, SMS",Power Failure,42842,184,2
ALM-2025-00410,Battery backup degradation on 47 West BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,North,5G-NR,P3-Medium,74,Nokia,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2024-12-03T16:30:14,Roaming Services,Power Failure,86376,126,5
